"id","category","denominazione_regione","date","origin_x","origin_y","stripes_x","stripes_y","bunches_x","bunches_y","clusters_x","clusters_y"
"Lomb-dime-551","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.937,0.734,-555.408,-1037.978,-555.408,-1037.978
"Lomb-dime-552","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.952,0.641,-702.949,-726.687,-702.949,-726.687
"Lomb-dime-553","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.974,0.281,-803.573,-1051.81,-803.573,-1051.81
"Lomb-dime-554","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.974,0.713,-508.241,-883.623,-508.241,-883.623
"Lomb-dime-555","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.978,0.401,-840.664,-800.582,-840.664,-800.582
"Lomb-dime-556","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.905,0.029,-643.184,-1085.964,-643.184,-1085.964
"Lomb-dime-557","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.939,0.403,-597.805,-746.303,-597.805,-746.303
"Lomb-dime-558","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.946,0.14,-858.734,-965.396,-858.734,-965.396
"Lomb-dime-559","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.952,0.1,-521.119,-986.848,-521.119,-986.848
"Lomb-dime-560","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.918,0.242,-764.351,-740.067,-764.351,-740.067
"Lomb-dime-561","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.987,0.155,-746.368,-1081.695,-746.368,-1081.695
"Lomb-dime-562","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.944,0.99,-531.831,-821.202,-531.831,-821.202
"Lomb-dime-563","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.936,0.915,-863.531,-863.502,-863.531,-863.502
"Lomb-dime-564","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.971,0.661,-585.582,-1063.404,-585.582,-1063.404
"Lomb-dime-565","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.987,0.284,-661.4,-728.607,-661.4,-728.607
"Lomb-dime-566","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.914,0.813,-828.765,-1023.22,-828.765,-1023.22
"Lomb-dime-567","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.909,0.24,-506.969,-924.048,-506.969,-924.048
"Lomb-dime-568","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.927,0.334,-814.807,-774.436,-814.807,-774.436
"Lomb-dime-569","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.909,0.092,-684.905,-1090.134,-684.905,-1090.134
"Lomb-dime-570","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.904,0.548,-569.23,-773.236,-569.23,-773.236
