"id","category","denominazione_regione","date","_x","_y","x","y","s_x","s_y","b_x","b_y","c_x","c_y"
"Lomb-rico-1379","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.154,0.225,-739.978,-995.884,-739.978,-995.884
"Lomb-rico-1380","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.277,0.725,-579.459,-872.853,-579.459,-872.853
"Lomb-rico-1381","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.49,0.139,-790.062,-861.709,-790.062,-861.709
"Lomb-rico-1382","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.338,0.475,-643.535,-1011.877,-643.535,-1011.877
"Lomb-rico-1383","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.28,0.519,-656.582,-805.231,-656.582,-805.231
"Lomb-rico-1384","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.461,0.09,-774.872,-958.046,-774.872,-958.046
"Lomb-rico-1385","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.541,0.911,-581.103,-934.511,-581.103,-934.511
"Lomb-rico-1386","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.235,0.073,-750.935,-814.236,-750.935,-814.236
"Lomb-rico-1387","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.313,0.851,-699.702,-1017.672,-699.702,-1017.672
"Lomb-rico-1388","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.355,0.247,-599.881,-836.139,-599.881,-836.139
"Lomb-rico-1389","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.592,0.583,-797.554,-903.77,-797.554,-903.77
"Lomb-rico-1390","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.594,0.053,-607.973,-987.178,-607.973,-987.178
"Lomb-rico-1391","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.453,0.487,-689.839,-795.257,-689.839,-795.257
"Lomb-rico-1392","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.258,0.533,-757.046,-990.39,-757.046,-990.39
